cdmun;município;situação;votos;percentual
330010;ANGRA DOS REIS;Não eleito;40997;1.11
330015;APERIBÉ;Não eleito;3114;0.08
330020;ARARUAMA;Não eleito;32739;0.89
330022;AREAL;Não eleito;3498;0.09
330023;ARMAÇÃO DOS BÚZIOS;Não eleito;8502;0.23
330025;ARRAIAL DO CABO;Não eleito;9211;0.25
330030;BARRA DO PIRAÍ;Não eleito;23062;0.63
330040;BARRA MANSA;Não eleito;43203;1.17
330045;BELFORD ROXO;Não eleito;54756;1.49
330050;BOM JARDIM;Não eleito;8334;0.23
330060;BOM JESUS DO ITABAPOANA;Não eleito;10108;0.27
330070;CABO FRIO;Não eleito;50268;1.36
330080;CACHOEIRAS DE MACACU;Não eleito;12452;0.34
330090;CAMBUCI;Não eleito;3366;0.09
330100;CAMPOS DOS GOYTACAZES;Não eleito;107652;2.92
330110;CANTAGALO;Não eleito;6543;0.18
330093;CARAPEBUS;Não eleito;317;0.09
330115;CARDOSO MOREIRA;Não eleito;3365;0.09
330120;CARMO;Não eleito;4116;0.11
330130;CASIMIRO DE ABREU;Não eleito;10315;0.28
330095;COMENDADOR LEVY GASPARIAN;Não eleito;1723;0.05
330140;CONCEIÇÃO DE MACABU;Não eleito;4958;0.13
330150;CORDEIRO;Não eleito;5937;0.16
330160;DUAS BARRAS;Não eleito;3607;0.10
330170;DUQUE DE CAXIAS;Não eleito;130097;3.53
330180;ENGENHEIRO PAULO DE FRONTIN;Não eleito;3788;0.10
330185;GUAPIMIRIM;Não eleito;11251;0.31
330187;IGUABA GRANDE;Não eleito;7547;0.20
330190;ITABORAÍ;Não eleito;31252;0.85
330200;ITAGUAÍ;Não eleito;2323;0.63
330205;ITALVA;Não eleito;3961;0.11
330210;ITAOCARA;Não eleito;7237;0.20
330220;ITAPERUNA;Não eleito;26931;0.73
330225;ITATIAIA;Não eleito;839;0.23
330227;JAPERI;Não eleito;12936;0.35
330230;LAJE DO MURIAÉ;Não eleito;1611;0.04
330240;MACAÉ;Não eleito;41302;1.12
330245;MACUCO;Não eleito;2212;0.06
330250;MAGÉ;Não eleito;39962;1.08
330260;MANGARATIBA;Não eleito;1087;0.29
330270;MARICÁ;Não eleito;26741;0.73
330280;MENDES;Não eleito;5126;0.14
330285;MESQUITA;Não eleito;32605;0.88
330290;MIGUEL PEREIRA;Não eleito;8267;0.22
330300;MIRACEMA;Não eleito;5746;0.16
330310;NATIVIDADE;Não eleito;4368;0.12
330320;NILÓPOLIS;Não eleito;35693;0.97
330330;NITERÓI;Não eleito;149084;4.05
330340;NOVA FRIBURGO;Não eleito;59551;1.62
330350;NOVA IGUAÇU;Não eleito;139012;3.77
330360;PARACAMBI;Não eleito;1081;0.29
330370;PARAÍBA DO SUL;Não eleito;11315;0.31
330380;PARATY;Não eleito;10715;0.29
330385;PATY DO ALFERES;Não eleito;62;0.17
330390;PETRÓPOLIS;Não eleito;103669;2.81
330395;PINHEIRAL;Não eleito;4446;0.12
330400;PIRAÍ;Não eleito;6462;0.18
330410;PORCIÚNCULA;Não eleito;3838;0.10
330411;PORTO REAL;Não eleito;5603;0.15
330412;QUATIS;Não eleito;368;0.10
330414;QUEIMADOS;Não eleito;2046;0.56
330415;QUISSAMÃ;Não eleito;459;0.12
330420;RESENDE;Não eleito;37825;1.03
330430;RIO BONITO;Não eleito;14492;0.39
330440;RIO CLARO;Não eleito;4345;0.12
330450;RIO DAS FLORES;Não eleito;2417;0.07
330452;RIO DAS OSTRAS;Não eleito;25894;0.70
330455;RIO DE JANEIRO;Não eleito;1577972;42.82
330460;SANTA MARIA MADALENA;Não eleito;3046;0.08
330470;SANTO ANTÔNIO DE PÁDUA;Não eleito;11351;0.31
330480;SÃO FIDÉLIS;Não eleito;1199;0.33
330475;SÃO FRANCISCO DE ITABAPOANA;Não eleito;12179;0.33
330490;SÃO GONÇALO;Não eleito;145466;3.95
330500;SÃO JOÃO DA BARRA;Não eleito;1294;0.35
330510;SÃO JOÃO DE MERITI;Não eleito;81749;2.22
330513;SÃO JOSÉ DE UBÁ;Não eleito;2433;0.07
330515;SÃO JOSÉ DO VALE DO RIO PRETO;Não eleito;7444;0.20
330520;SÃO PEDRO DA ALDEIA;Não eleito;21883;0.59
330530;SÃO SEBASTIÃO DO ALTO;Não eleito;2068;0.06
330540;SAPUCAIA;Não eleito;5296;0.14
330550;SAQUAREMA;Não eleito;20565;0.56
330555;SEROPÉDICA;Não eleito;13698;0.37
330560;SILVA JARDIM;Não eleito;4784;0.13
330570;SUMIDOURO;Não eleito;5368;0.15
330575;TANGUÁ;Não eleito;448;0.12
330580;TERESÓPOLIS;Não eleito;59235;1.61
330590;TRAJANO DE MORAIS;Não eleito;2363;0.06
330600;TRÊS RIOS;Não eleito;15289;0.41
330610;VALENÇA;Não eleito;17916;0.49
330615;VARRE-SAI;Não eleito;3089;0.08
330620;VASSOURAS;Não eleito;10464;0.28
330630;VOLTA REDONDA;Não eleito;71527;1.94
