cdmun;município;situação;votos;percentual
330010;ANGRA DOS REIS;Eleito;41014;0.91
330015;APERIBÉ;Eleito;3152;0.07
330020;ARARUAMA;Eleito;25817;0.58
330022;AREAL;Eleito;3208;0.07
330023;ARMAÇÃO DOS BÚZIOS;Eleito;7248;0.16
330025;ARRAIAL DO CABO;Eleito;7531;0.17
330030;BARRA DO PIRAÍ;Eleito;26653;0.59
330040;BARRA MANSA;Eleito;53489;1.19
330045;BELFORD ROXO;Eleito;162708;3.62
330050;BOM JARDIM;Eleito;5693;0.13
330060;BOM JESUS DO ITABAPOANA;Eleito;9113;0.20
330070;CABO FRIO;Eleito;38884;0.87
330080;CACHOEIRAS DE MACACU;Eleito;16863;0.38
330090;CAMBUCI;Eleito;4558;0.10
330100;CAMPOS DOS GOYTACAZES;Eleito;129689;2.89
330110;CANTAGALO;Eleito;4625;0.10
330093;CARAPEBUS;Eleito;4391;0.10
330115;CARDOSO MOREIRA;Eleito;3939;0.09
330120;CARMO;Eleito;5767;0.13
330130;CASIMIRO DE ABREU;Eleito;8409;0.19
330095;COMENDADOR LEVY GASPARIAN;Eleito;3754;0.08
330140;CONCEIÇÃO DE MACABU;Eleito;5926;0.13
330150;CORDEIRO;Eleito;4932;0.11
330160;DUAS BARRAS;Eleito;2672;0.06
330170;DUQUE DE CAXIAS;Eleito;290254;6.46
330180;ENGENHEIRO PAULO DE FRONTIN;Eleito;3358;0.07
330185;GUAPIMIRIM;Eleito;13561;0.30
330187;IGUABA GRANDE;Eleito;6122;0.14
330190;ITABORAÍ;Eleito;8286;1.85
330200;ITAGUAÍ;Eleito;36297;0.81
330205;ITALVA;Eleito;3542;0.08
330210;ITAOCARA;Eleito;5877;0.13
330220;ITAPERUNA;Eleito;22321;0.50
330225;ITATIAIA;Eleito;7988;0.18
330227;JAPERI;Eleito;33872;0.75
330230;LAJE DO MURIAÉ;Eleito;2916;0.06
330240;MACAÉ;Eleito;55213;1.23
330245;MACUCO;Eleito;2454;0.05
330250;MAGÉ;Eleito;76202;1.70
330260;MANGARATIBA;Eleito;10002;0.22
330270;MARICÁ;Eleito;37354;0.83
330280;MENDES;Eleito;5213;0.12
330285;MESQUITA;Eleito;58242;1.30
330290;MIGUEL PEREIRA;Eleito;6973;0.16
330300;MIRACEMA;Eleito;8562;0.19
330310;NATIVIDADE;Eleito;3793;0.08
330320;NILÓPOLIS;Eleito;56628;1.26
330330;NITERÓI;Eleito;122285;2.72
330340;NOVA FRIBURGO;Eleito;37825;0.84
330350;NOVA IGUAÇU;Eleito;245579;5.47
330360;PARACAMBI;Eleito;12657;0.28
330370;PARAÍBA DO SUL;Eleito;11027;0.25
330380;PARATY;Eleito;6564;0.15
330385;PATY DO ALFERES;Eleito;8879;0.20
330390;PETRÓPOLIS;Eleito;60779;1.35
330395;PINHEIRAL;Eleito;7709;0.17
330400;PIRAÍ;Eleito;8843;0.20
330410;PORCIÚNCULA;Eleito;5201;0.12
330411;PORTO REAL;Eleito;5377;0.12
330412;QUATIS;Eleito;3489;0.08
330414;QUEIMADOS;Eleito;52555;1.17
330415;QUISSAMÃ;Eleito;6883;0.15
330420;RESENDE;Eleito;25243;0.56
330430;RIO BONITO;Eleito;16102;0.36
330440;RIO CLARO;Eleito;5899;0.13
330450;RIO DAS FLORES;Eleito;3162;0.07
330452;RIO DAS OSTRAS;Eleito;24513;0.55
330455;RIO DE JANEIRO;Eleito;1626751;36.23
330460;SANTA MARIA MADALENA;Eleito;2238;0.05
330470;SANTO ANTÔNIO DE PÁDUA;Eleito;10718;0.24
330480;SÃO FIDÉLIS;Eleito;7486;0.17
330475;SÃO FRANCISCO DE ITABAPOANA;Eleito;927;0.21
330490;SÃO GONÇALO;Eleito;309457;6.89
330500;SÃO JOÃO DA BARRA;Eleito;10648;0.24
330510;SÃO JOÃO DE MERITI;Eleito;158646;3.53
330513;SÃO JOSÉ DE UBÁ;Eleito;2629;0.06
330515;SÃO JOSÉ DO VALE DO RIO PRETO;Eleito;329;0.07
330520;SÃO PEDRO DA ALDEIA;Eleito;16725;0.37
330530;SÃO SEBASTIÃO DO ALTO;Eleito;2708;0.06
330540;SAPUCAIA;Eleito;5944;0.13
330550;SAQUAREMA;Eleito;1839;0.41
330555;SEROPÉDICA;Eleito;23507;0.52
330560;SILVA JARDIM;Eleito;6243;0.14
330570;SUMIDOURO;Eleito;4169;0.09
330575;TANGUÁ;Eleito;11858;0.26
330580;TERESÓPOLIS;Eleito;25048;0.56
330590;TRAJANO DE MORAIS;Eleito;3299;0.07
330600;TRÊS RIOS;Eleito;27823;0.62
330610;VALENÇA;Eleito;21176;0.47
330615;VARRE-SAI;Eleito;2221;0.05
330620;VASSOURAS;Eleito;9236;0.21
330630;VOLTA REDONDA;Eleito;9017;2.01
