cdmun;município;situação;votos;percentual
330010;ANGRA DOS REIS;Eleito;40081;0.92
330015;APERIBÃ‰;Eleito;3759;0.09
330020;ARARUAMA;Eleito;23531;0.54
330022;AREAL;Eleito;5055;0.12
330023;ARMAÃ‡ÃƒO DOS BÃšZIOS;Eleito;8147;0.19
330025;ARRAIAL DO CABO;Eleito;7803;0.18
330030;BARRA DO PIRAÃ;Eleito;41476;0.95
330040;BARRA MANSA;Eleito;60152;1.38
330045;BELFORD ROXO;Eleito;105399;2.43
330050;BOM JARDIM;Eleito;8803;0.20
330060;BOM JESUS DO ITABAPOANA;Eleito;12514;0.29
330070;CABO FRIO;Eleito;37647;0.87
330080;CACHOEIRAS DE MACACU;Eleito;13267;0.31
330090;CAMBUCI;Eleito;5124;0.12
330100;CAMPOS DOS GOYTACAZES;Eleito;117658;2.71
330110;CANTAGALO;Eleito;7921;0.18
330093;CARAPEBUS;Eleito;335;0.08
330115;CARDOSO MOREIRA;Eleito;5404;0.12
330120;CARMO;Eleito;7288;0.17
330130;CASIMIRO DE ABREU;Eleito;8897;0.20
330095;COMENDADOR LEVY GASPARIAN;Eleito;3975;0.09
330140;CONCEIÃ‡ÃƒO DE MACABU;Eleito;4539;0.10
330150;CORDEIRO;Eleito;6942;0.16
330160;DUAS BARRAS;Eleito;3728;0.09
330170;DUQUE DE CAXIAS;Eleito;19366;4.46
330180;ENGENHEIRO PAULO DE FRONTIN;Eleito;4906;0.11
330185;GUAPIMIRIM;Eleito;13206;0.30
330187;IGUABA GRANDE;Eleito;6962;0.16
330190;ITABORAÃ;Eleito;49251;1.13
330200;ITAGUAÃ;Eleito;25872;0.60
330205;ITALVA;Eleito;5771;0.13
330210;ITAOCARA;Eleito;7053;0.16
330220;ITAPERUNA;Eleito;28716;0.66
330225;ITATIAIA;Eleito;9883;0.23
330227;JAPERI;Eleito;26041;0.60
330230;LAJE DO MURIAÃ‰;Eleito;2817;0.06
330240;MACAÃ‰;Eleito;38806;0.89
330245;MACUCO;Eleito;3095;0.07
330250;MAGÃ‰;Eleito;54569;1.26
330260;MANGARATIBA;Eleito;11073;0.25
330270;MARICÃ;Eleito;31202;0.72
330280;MENDES;Eleito;8346;0.19
330285;MESQUITA;Eleito;42792;0.99
330290;MIGUEL PEREIRA;Eleito;10016;0.23
330300;MIRACEMA;Eleito;10567;0.24
330310;NATIVIDADE;Eleito;4957;0.11
330320;NILÃ“POLIS;Eleito;44771;1.03
330330;NITERÃ“I;Eleito;149797;3.45
330340;NOVA FRIBURGO;Eleito;51333;1.18
330350;NOVA IGUAÃ‡U;Eleito;19167;4.41
330360;PARACAMBI;Eleito;14265;0.33
330370;PARAÃBA DO SUL;Eleito;15182;0.35
330380;PARATY;Eleito;9014;0.21
330385;PATY DO ALFERES;Eleito;10354;0.24
330390;PETRÃ“POLIS;Eleito;90021;2.07
330395;PINHEIRAL;Eleito;9775;0.23
330400;PIRAÃ;Eleito;13283;0.31
330410;PORCIÃšNCULA;Eleito;5745;0.13
330411;PORTO REAL;Eleito;6407;0.15
330412;QUATIS;Eleito;4807;0.11
330414;QUEIMADOS;Eleito;4268;0.98
330415;QUISSAMÃƒ;Eleito;5867;0.14
330420;RESENDE;Eleito;37971;0.87
330430;RIO BONITO;Eleito;16278;0.37
330440;RIO CLARO;Eleito;7119;0.16
330450;RIO DAS FLORES;Eleito;4694;0.11
330452;RIO DAS OSTRAS;Eleito;19947;0.46
330455;RIO DE JANEIRO;Eleito;1757632;40.47
330460;SANTA MARIA MADALENA;Eleito;3108;0.07
330470;SANTO ANTÃ”NIO DE PÃDUA;Eleito;1454;0.33
330480;SÃƒO FIDÃ‰LIS;Eleito;11036;0.25
330475;SÃƒO FRANCISCO DE ITABAPOANA;Eleito;13004;0.30
330490;SÃƒO GONÃ‡ALO;Eleito;209901;4.83
330500;SÃƒO JOÃƒO DA BARRA;Eleito;15514;0.36
330510;SÃƒO JOÃƒO DE MERITI;Eleito;9807;2.26
330513;SÃƒO JOSÃ‰ DE UBÃ;Eleito;3394;0.08
330515;SÃƒO JOSÃ‰ DO VALE DO RIO PRETO;Eleito;6356;0.15
330520;SÃƒO PEDRO DA ALDEIA;Eleito;16375;0.38
330530;SÃƒO SEBASTIÃƒO DO ALTO;Eleito;3386;0.08
330540;SAPUCAIA;Eleito;8142;0.19
330550;SAQUAREMA;Eleito;20504;0.47
330555;SEROPÃ‰DICA;Eleito;25509;0.59
330560;SILVA JARDIM;Eleito;4671;0.11
330570;SUMIDOURO;Eleito;5757;0.13
330575;TANGUÃ;Eleito;8279;0.19
330580;TERESÃ“POLIS;Eleito;45727;1.05
330590;TRAJANO DE MORAIS;Eleito;3389;0.08
330600;TRÃŠS RIOS;Eleito;32071;0.74
330610;VALENÃ‡A;Eleito;28398;0.65
330615;VARRE-SAI;Eleito;4288;0.10
330620;VASSOURAS;Eleito;14809;0.34
330630;VOLTA REDONDA;Eleito;106437;2.45
