cdmun;município;situação;votos;percentual
330010;ANGRA DOS REIS;Não eleito;34786;1.01
330015;APERIBÉ;Não eleito;2216;0.06
330020;ARARUAMA;Não eleito;31804;0.92
330022;AREAL;Não eleito;1327;0.04
330023;ARMAÇÃO DOS BÚZIOS;Não eleito;6768;0.20
330025;ARRAIAL DO CABO;Não eleito;8165;0.24
330030;BARRA DO PIRAÍ;Não eleito;7264;0.21
330040;BARRA MANSA;Não eleito;31018;0.90
330045;BELFORD ROXO;Não eleito;106573;3.10
330050;BOM JARDIM;Não eleito;4165;0.12
330060;BOM JESUS DO ITABAPOANA;Não eleito;4678;0.14
330070;CABO FRIO;Não eleito;48129;1.40
330080;CACHOEIRAS DE MACACU;Não eleito;14296;0.42
330090;CAMBUCI;Não eleito;2387;0.07
330100;CAMPOS DOS GOYTACAZES;Não eleito;110289;3.20
330110;CANTAGALO;Não eleito;2581;0.07
330093;CARAPEBUS;Não eleito;3982;0.12
330115;CARDOSO MOREIRA;Não eleito;172;0.05
330120;CARMO;Não eleito;198;0.06
330130;CASIMIRO DE ABREU;Não eleito;8896;0.26
330095;COMENDADOR LEVY GASPARIAN;Não eleito;1288;0.04
330140;CONCEIÇÃO DE MACABU;Não eleito;5371;0.16
330150;CORDEIRO;Não eleito;3229;0.09
330160;DUAS BARRAS;Não eleito;2005;0.06
330170;DUQUE DE CAXIAS;Não eleito;213172;6.19
330180;ENGENHEIRO PAULO DE FRONTIN;Não eleito;2044;0.06
330185;GUAPIMIRIM;Não eleito;10924;0.32
330187;IGUABA GRANDE;Não eleito;5975;0.17
330190;ITABORAÍ;Não eleito;61834;1.80
330200;ITAGUAÍ;Não eleito;31409;0.91
330205;ITALVA;Não eleito;1463;0.04
330210;ITAOCARA;Não eleito;5115;0.15
330220;ITAPERUNA;Não eleito;16941;0.49
330225;ITATIAIA;Não eleito;5691;0.17
330227;JAPERI;Não eleito;19353;0.56
330230;LAJE DO MURIAÉ;Não eleito;1401;0.04
330240;MACAÉ;Não eleito;52732;1.53
330245;MACUCO;Não eleito;1498;0.04
330250;MAGÉ;Não eleito;5847;1.70
330260;MANGARATIBA;Não eleito;9113;0.26
330270;MARICÁ;Não eleito;29335;0.85
330280;MENDES;Não eleito;1761;0.05
330285;MESQUITA;Não eleito;4629;1.34
330290;MIGUEL PEREIRA;Não eleito;4238;0.12
330300;MIRACEMA;Não eleito;2812;0.08
330310;NATIVIDADE;Não eleito;2431;0.07
330320;NILÓPOLIS;Não eleito;46148;1.34
330330;NITERÓI;Não eleito;96291;2.80
330340;NOVA FRIBURGO;Não eleito;36138;1.05
330350;NOVA IGUAÇU;Não eleito;182149;5.29
330360;PARACAMBI;Não eleito;8415;0.24
330370;PARAÍBA DO SUL;Não eleito;5969;0.17
330380;PARATY;Não eleito;6377;0.19
330385;PATY DO ALFERES;Não eleito;4194;0.12
330390;PETRÓPOLIS;Não eleito;59309;1.72
330395;PINHEIRAL;Não eleito;2182;0.06
330400;PIRAÍ;Não eleito;2016;0.06
330410;PORCIÚNCULA;Não eleito;239;0.07
330411;PORTO REAL;Não eleito;4093;0.12
330412;QUATIS;Não eleito;1992;0.06
330414;QUEIMADOS;Não eleito;2841;0.83
330415;QUISSAMÃ;Não eleito;5224;0.15
330420;RESENDE;Não eleito;21767;0.63
330430;RIO BONITO;Não eleito;12942;0.38
330440;RIO CLARO;Não eleito;2529;0.07
330450;RIO DAS FLORES;Não eleito;743;0.02
330452;RIO DAS OSTRAS;Não eleito;27846;0.81
330455;RIO DE JANEIRO;Não eleito;1281515;37.22
330460;SANTA MARIA MADALENA;Não eleito;1806;0.05
330470;SANTO ANTÔNIO DE PÁDUA;Não eleito;6056;0.18
330480;SÃO FIDÉLIS;Não eleito;7697;0.22
330475;SÃO FRANCISCO DE ITABAPOANA;Não eleito;6948;0.20
330490;SÃO GONÇALO;Não eleito;228565;6.64
330500;SÃO JOÃO DA BARRA;Não eleito;683;0.20
330510;SÃO JOÃO DE MERITI;Não eleito;138274;4.02
330513;SÃO JOSÉ DE UBÁ;Não eleito;1568;0.05
330515;SÃO JOSÉ DO VALE DO RIO PRETO;Não eleito;3435;0.10
330520;SÃO PEDRO DA ALDEIA;Não eleito;21057;0.61
330530;SÃO SEBASTIÃO DO ALTO;Não eleito;1123;0.03
330540;SAPUCAIA;Não eleito;2217;0.06
330550;SAQUAREMA;Não eleito;16852;0.49
330555;SEROPÉDICA;Não eleito;11436;0.33
330560;SILVA JARDIM;Não eleito;5857;0.17
330570;SUMIDOURO;Não eleito;3018;0.09
330575;TANGUÁ;Não eleito;7624;0.22
330580;TERESÓPOLIS;Não eleito;31249;0.91
330590;TRAJANO DE MORAIS;Não eleito;1898;0.06
330600;TRÊS RIOS;Não eleito;9618;0.28
330610;VALENÇA;Não eleito;871;0.25
330615;VARRE-SAI;Não eleito;576;0.02
330620;VASSOURAS;Não eleito;4095;0.12
330630;VOLTA REDONDA;Não eleito;48646;1.41
