REGISTRO,CD_GEOCODM,NMMUN,CDMUN,IrMA,IrTE,IrDL,IrRV,IrAP,IrAPM,IFCA,CATEGORIA,SOMAGRUPO,MÉDIAGRUPO
1,3300100,Angra dos Reis,330010,0,.000716059,.013529854,0,.058687813,.003384014,2.42813568,Grupo3,26.077140346,2.17309502883
2,3300159,Aperibé,330015,0,.007103941,.001691232,0,.003183231,.014405902,.420152884,Grupo1,24.8228248,.45968194074
3,3300209,Araruama,330020,.041405349,0,.008456159,0,.000425765,3E-005,.598809221,Grupo1,24.8228248,.45968194074
4,3300225,Areal,330022,0,0,.001691232,0,.017084164,.077315408,1.344693207,Grupo2,25.840493952,1.36002599747
5,3300233,Armação dos Búzios,330023,0,.044289882,.010147391,0,.008867075,.001057111,1.417474157,Grupo2,25.840493952,1.36002599747
6,3300258,Arraial do Cabo,330025,0,.044289882,.011838623,0,.013378521,.008580969,1.681425585,Grupo2,25.840493952,1.36002599747
7,3300308,Barra do Piraí,330030,.010767943,0,.008456159,.058252427,5E-005,.000229438,.571954822,Grupo1,24.8228248,.45968194074
8,3300407,Barra Mansa,330040,0,.000467802,.023677245,.019417476,.002300883,.007531006,.730599167,Grupo1,24.8228248,.45968194074
9,3300456,Belford Roxo,330045,0,.001887358,.01860355,0,.004328004,.014167902,.693137413,Grupo1,24.8228248,.45968194074
10,3300506,Bom Jardim,330050,0,0,.010147391,0,.000254276,0,.212101739,Grupo1,24.8228248,.45968194074
11,3300605,Bom Jesus do Itabapoana,330060,0,.000528335,.008456159,0,0,0,.179689885,Grupo1,24.8228248,.45968194074
12,3300704,Cabo Frio,330070,.019966105,.027743046,.013529854,0,.003658625,.001531411,1.170612283,Grupo2,25.840493952,1.36002599747
13,3300803,Cachoeiras de Macacu,330080,.185296318,0,.011838623,0,.054121881,.008341194,4.113194077,Grupo5,8.480736763,4.2403683815
14,3300902,Cambuci,330090,0,.004814544,.001691232,0,.001276277,.005775867,.228044278,Grupo1,24.8228248,.45968194074
17,3300936,Carapebus,330093,0,0,.010147391,0,.015068591,0,.745417078,Grupo1,24.8228248,.45968194074
21,3300951,Comendador Levy Gasparian,330095,0,.005295407,.001691232,0,.001850935,.008376517,.281755079,Grupo1,24.8228248,.45968194074
15,3301009,Campos dos Goytacazes,330100,0,.039116832,.013529854,0,.006127784,.000527007,1.278277016,Grupo2,25.840493952,1.36002599747
16,3301108,Cantagalo,330110,0,.006001339,.014713717,0,4E-005,.000178223,.417322852,Grupo1,24.8228248,.45968194074
18,3301157,Cardoso Moreira,330115,0,.005487555,.001691232,0,0,0,.143575742,Grupo1,24.8228248,.45968194074
19,3301207,Carmo,330120,0,0,.01860355,0,.003401662,.015394424,.633080636,Grupo1,24.8228248,.45968194074
20,3301306,Casimiro de Abreu,330130,.039166053,.013199537,.010147391,0,.026192406,.000454438,1.805615635,Grupo3,26.077140346,2.17309502883
22,3301405,Conceição de Macabu,330140,0,.004945385,.010147391,0,.006634636,.029989219,.810605382,Grupo1,24.8228248,.45968194074
23,3301504,Cordeiro,330150,0,.006689641,.010147391,0,.000243509,.001102013,.355425067,Grupo1,24.8228248,.45968194074
24,3301603,Duas Barras,330160,0,0,.010147391,0,.001823923,.00709854,.332495919,Grupo1,24.8228248,.45968194074
