NO_MUNICIPIO;cdmun;TIPOLOCA;Dependad;TDI_FUN;TDI_F14;TDI_F58;TDI_F00;TDI_F01;TDI_F02;TDI_F03;TDI_F04;TDI_F05;TDI_F06;TDI_F07;TDI_F08;TDI_MED;TDI_M01;TDI_M02;TDI_M03;TDI_M04
"ANGRA DOS REIS";330010;Total;Total;15.5;26.9;34.5;37.2;40.9;51.8;51.2;48.7;49.6;31.6;50.5;40;62.6;55.4;57.3;42.4;58.8
"APERIBE";330015;Total;Total;3.5;12;19;14.7;29.9;31.1;26.3;23.8;28;16.5;27.6;21.1;24.2;17.7;21.9;31.3;22
"ARARUAMA";330020;Total;Total;12.3;27.1;37.6;36.9;39.8;47.9;43.7;34.3;34;31.3;41.4;35.4;51.4;51.4;47.3;63.8;50.7
"AREAL";330022;Total;Total;4.3;18;29.1;31.3;27.8;37.5;43.2;48.1;30.3;23.1;40.5;29.8;41.5;41.7;49.3;;43.5
"ARMACAO DOS BUZIOS";330023;Total;Total;11.1;32.5;37.9;35.5;38.6;46.1;47;43.3;30.7;31.8;43.3;36.8;47.8;45.1;51.5;72.7;47.7
"ARRAIAL DO CABO";330025;Total;Total;65.1;32.8;35.1;36.6;35.6;44.3;39.9;44.5;35.9;47.5;41.8;45.1;49.1;41.8;35.8;;43.5
"BARRA DO PIRAI";330030;Total;Total;19.2;28;38.2;38.8;40.1;44.6;42.3;38;30.5;32.6;39.5;35.4;46.8;42.6;37.3;48.5;43.1
"BARRA MANSA";330040;Total;Total;1.5;13.7;21.6;22.9;25.7;36.2;34.2;31.2;24.9;18;31.7;24.2;52.3;50.4;42;47.7;49.3
"BELFORD ROXO";330045;Total;Total;8;23.4;31.5;33.5;37.4;46.7;47.4;43.7;41;28.7;45.1;36.4;55.7;54.7;49;41.5;53.7
"BOM JARDIM";330050;Total;Total;2.3;30.3;37.3;42.6;40.6;55.6;54.5;50.7;55.1;32.1;54.2;41.1;49.8;50.5;45.1;33.3;48
"BOM JESUS DO ITABAPOANA";330060;Total;Total;6.8;9.8;17.6;18;26.8;32.9;33.4;28;23.4;16.5;29.7;22.5;30.7;29.2;24.8;31.6;28.7
"CABO FRIO";330070;Total;Total;19.2;32.3;36.4;36.7;39.8;43.1;43.2;33.1;32.2;33.2;38.9;35.5;36.8;36.3;31.8;32.2;35.4
"CACHOEIRAS DE MACACU";330080;Total;Total;12.9;27.5;37.7;40.1;43.3;47.8;45.2;42.8;34.3;33.6;43.5;37.7;51.3;48.1;38.3;36.8;47.3
"CAMBUCI";330090;Total;Total;11;11.3;29.4;25;31;41.5;39.6;31.9;37.8;23;37.8;29.7;48.4;49.4;41.2;64.7;47.3
"CARAPEBUS";330093;Total;Total;6.6;29.6;30.4;32.9;33.5;38.9;34.4;39.3;31;28.3;36.3;31.5;38.5;49;52;;45.3
"COMENDADOR LEVY GASPARIAN";330095;Total;Total;22.4;35;32.5;42.5;39.9;53.7;49.2;53.1;54.8;34.4;52.7;43.4;53;23.1;18.5;;38.8
"CAMPOS DOS GOYTACAZES";330100;Total;Total;25.5;36.2;42.9;38.5;40.3;46.3;41.4;38.9;34;36.6;40.7;38.3;37.7;32.7;29;66.7;34.2
"CANTAGALO";330110;Total;Total;22.4;34.3;38.8;36.7;43.8;50.7;51;44.7;38.3;35.7;47.1;40.3;38;40.6;31.3;38.5;37.1
