cdmun;NO_MUNICIPIO;TIPOLOCA;Dependad;TDI_FUN;TDI_F14;TDI_F58;TDI_F00;TDI_F01;TDI_F02;TDI_F03;TDI_F04;TDI_F05;TDI_F06;TDI_F07;TDI_F08;TDI_MED;TDI_M01;TDI_M02;TDI_M03;TDI_M04
330010;ANGRA DOS REIS;Total;Total;31.2;22.8;41.3;7.3;10.8;24;33.8;34.1;44.1;45.8;36.7;36.8;42.5;43.3;42.6;41.1;--
330015;APERIBE;Total;Total;17.4;10.3;26;0.8;4.4;13.2;15.2;17.1;28;31.8;20;22.4;20.8;24.5;17.9;19.8;--
330020;ARARUAMA;Total;Total;32.6;26.6;40.7;8.1;13.6;30.6;35.3;40;46.4;42.7;38.3;32.3;35.2;39.7;34.5;29.5;--
330022;AREAL;Total;Total;30.5;23.2;39.4;2.6;10.1;30;30.6;34.4;41.1;41.5;39.2;33.9;32.8;33.6;32.4;32.1;--
330023;ARMACAO DOS BUZIOS;Total;Total;39.4;34.6;44.7;24.3;30.5;35.7;39.9;43.1;47.3;52.8;39.3;35.7;46.5;54.3;38.5;29.6;12.5
330025;ARRAIAL DO CABO;Total;Total;32.1;27.1;38.8;11.4;23.6;33.4;30.8;37.6;43.6;42.3;38.7;26.9;34.1;40.3;31.8;24.3;--
330030;BARRA DO PIRAI;Total;Total;36.5;32.6;41.7;21.7;29.8;36.4;37.1;39.3;42.1;48.8;35.1;39.1;31.9;38.4;30.3;23.6;--
330040;BARRA MANSA;Total;Total;23.1;15.8;32.2;1.6;4;20;24;27.2;35.1;34.3;30.2;28.6;31.2;33.6;31.4;27;--
330045;BELFORD ROXO;Total;Total;29.7;24.7;35.9;10.4;21.2;26.9;31.1;31.5;37.9;39.3;31.2;34.2;35.7;39.3;33.4;33;--
330050;BOM JARDIM;Total;Total;39.9;30.8;51.3;3;24.5;34.8;39.8;45.2;51.3;52.9;47.9;53;39;39.3;39.4;38.1;--
330060;BOM JESUS DO ITABAPOANA;Total;Total;19.2;12.8;25.4;3.5;8.6;14;15.5;19.8;24.6;28.6;24.2;23.5;24.5;25;26.3;21.7;--
330070;CABO FRIO;Total;Total;34.8;29.4;41.6;18.6;28.8;32.5;34.7;34;45.6;44.9;38.1;35.6;32.5;39.1;31.4;22.7;16.5
330080;CACHOEIRAS DE MACACU;Total;Total;34.7;28;42.5;8.4;24.2;32.8;34.8;39.1;40.7;50.1;33.1;43.4;38.3;40.1;37.7;35.9;33.3
330090;CAMBUCI;Total;Total;28.3;22.1;35;11.9;11.6;26.2;24.6;36.6;28.4;40.3;25.4;43.7;34.5;31.6;38.5;33.6;--
330093;CARAPEBUS;Total;Total;27.9;20.9;37.5;3.4;23.2;20.8;25.2;31.1;44.5;38.6;31.5;32.9;35.7;36.5;37.3;31.9;--
330095;COMENDADOR LEVY GASPARIAN;Total;Total;40;30.4;50.5;22.2;21.7;34.8;38.9;37;50;51.3;46.7;54.4;45.5;44.4;51;40.7;--
330100;CAMPOS DOS GOYTACAZES;Total;Total;40.2;37.6;44;28;38.5;41;42.7;39.9;49.7;47.4;38.4;37.6;33.4;39.2;30.5;27;31.3
330110;CANTAGALO;Total;Total;38.3;35.5;42;18;29;40.4;40.1;51;47.6;42.7;34.8;41.4;29.9;38.2;26.2;20.6;--
330115;CARDOSO MOREIRA;Total;Total;44.3;43.7;45.1;36.4;39.8;42.6;48.4;53.4;45.8;51.6;35.6;46.5;32.3;40.2;32.7;20.7;--
330120;CARMO;Total;Total;31.9;28.4;36.3;4.9;31.6;33;32;33.8;36.4;38.1;32.5;37.6;30;32.9;25.7;30.5;--
330130;CASIMIRO DE ABREU;Total;Total;22.9;15.9;32.4;4.6;8.8;19.2;22.6;22.5;35.8;37.7;27.6;26;35.1;40.3;36.2;26.4;--
