Municipio;Ano;1A;2A;3A;4A;5A;6A;7A;8A;NCA;TotalA;1D;2D;3D;4D;5D;6D;7D;8D;NCD;TotalD;1S;2S;3S;4S;5S;6S;7S;8S;NCS;TotalS
330010;Total;219;33558;1478;27227;48268;56715;1561;964;0;169990;-284;-31531;-946;-27616;-45364;-53026;-2741;-949;0;-162457;-65;2027;532;-389;2904;3689;-1180;15;0;7533
330010;2015;21;1133;90;2049;4551;4516;0;36;0;12396;-25;-3026;-184;-4864;-4510;-4265;0;-53;0;-16927;-4;-1893;-94;-2815;41;251;0;-17;0;-4531
330010;2014;37;4123;135;3908;5017;4566;0;45;0;17831;-28;-2956;-219;-4013;-4944;-4975;0;-59;0;-17194;9;1167;-84;-105;73;-409;0;-14;0;637
330010;2013;11;1565;113;3046;4831;4321;0;122;0;14009;-10;-2219;-42;-2712;-4825;-4551;0;-146;0;-14505;1;-654;71;334;6;-230;0;-24;0;-496
330010;2012;11;3440;130;2357;4762;5594;0;134;0;16428;-16;-2547;-67;-4133;-4631;-5243;0;-96;0;-16733;-5;893;63;-1776;131;351;0;38;0;-305
330010;2011;21;2611;120;5156;4669;4965;0;173;0;17715;-7;-3261;-34;-3586;-4436;-4947;0;-134;0;-16405;14;-650;86;1570;233;18;0;39;0;1310
330010;2010;13;4247;309;3488;4622;5152;0;40;0;17871;-8;-3323;-37;-2027;-4134;-4918;0;-47;0;-14494;5;924;272;1461;488;234;0;-7;0;3377
330010;2009;13;2794;155;1866;4084;4945;80;67;0;14004;-6;-2484;-100;-1139;-3913;-4670;-5;-67;0;-12384;7;310;55;727;171;275;75;0;0;1620
330010;2008;1;3970;125;1175;3730;4916;338;49;0;14304;-19;-3363;-108;-1491;-3452;-4601;-611;-68;0;-13713;-18;607;17;-316;278;315;-273;-19;0;591
330010;2007;14;1598;177;1437;3560;4314;288;68;0;11456;-11;-2157;-84;-1207;-3104;-3791;-264;-62;0;-10680;3;-559;93;230;456;523;24;6;0;776
330010;2006;9;2018;62;1107;2885;5432;109;46;0;11668;-11;-1077;-32;-847;-2757;-4673;-12;-47;0;-9456;-2;941;30;260;128;759;97;-1;0;2212
330010;2005;6;2509;22;942;3202;4106;489;83;0;11359;-58;-1924;-16;-805;-2552;-3125;-352;-76;0;-8908;-52;585;6;137;650;981;137;7;0;2451
330010;2004;62;3550;40;696;2355;3888;257;101;0;10949;-85;-3194;-23;-792;-2106;-3267;-1497;-94;0;-11058;-23;356;17;-96;249;621;-1240;7;0;-109
330015;Total;13;1230;0;70;1124;761;0;56;0;3254;-21;-1111;0;-67;-858;-867;0;-62;0;-2986;-8;119;0;3;266;-106;0;-6;0;268
330015;2015;1;58;0;6;101;82;0;5;0;253;-2;-137;0;-25;-89;-49;0;-2;0;-304;-1;-79;0;-19;12;33;0;3;0;-51
330015;2014;3;150;0;35;109;52;0;1;0;350;-2;-120;0;-21;-108;-47;0;-10;0;-308;1;30;0;14;1;5;0;-9;0;42
330015;2013;1;185;0;4;149;55;0;9;0;403;-5;-189;0;-8;-148;-39;0;-8;0;-397;-4;-4;0;-4;1;16;0;1;0;6
330015;2012;4;103;0;11;179;43;0;4;0;344;-5;-77;0;-7;-102;-28;0;-6;0;-225;-1;26;0;4;77;15;0;-2;0;119
330015;2011;2;184;0;10;171;47;0;4;0;418;-5;-109;0;-5;-110;-31;0;-5;0;-265;-3;75;0;5;61;16;0;-1;0;153
